Type ,Site,1_D.pusillum,2_D.brevidens,3_D.pallidum,4_D.capillaceum,5_D.heteromalla ,6_D.varia,7_D.drummondii ,8_D.fragilifolium ,9_C.aureus,10_C.flexuosus,11_A.stracheyanum ,12_G.aurantiacum ,13_G.anoectangioide,14_H.recurvirostrum,15_G.brevicaulis ,16_G.yunnanensis,17_B.kashmirense,18_B.caespiticium,19_B.blindii,20_B.cellulare,21_B.bornholmense,22_B.handelii,23_B.pseudotriquetrum,24_M.thomsonii,25_P.rostratum,26_P.cuspidatum,27_T.ussuriensis,28_L.austroalpinum,29_T.delicatulum,30_T.cymbifolium,31_B.molkenboeri,32_C.filicinum ,33_D.aduncus,34_D.vernicosus,35_B.populeum,36_C.cirrosum,37_S.subpinnatum,38_S.subhumile,39_B.erythrocaulis,40_H.oldhamii,41_H.hamulosum
Spr_TL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.36,0,0.4,0.04,0,0,0,0,0,0
Spr_TL,2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
Spr_TL,3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.4,0.06,0,0,0,0,0,0
Spr_TL,4,0,0,0,0.01,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0
Spr_TL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.1,0,0.55,0,0,0,0,0,0.03,0
Cas_TL,6,0,0,0,0,0,0,0.02,0,0,0.04,0.08,0.14,0,0.02,0,0,0.1,0,0,0,0,0,0.08,0,0.1,0,0,0,0,0,0.12,0.17,0,0.13,0,0,0,0,0,0,0
Cas_TL,7,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.016,0,0,0,0,0,0.45,0,0.4,0.08,0.004,0,0,0,0,0
Cas_TL,8,0,0,0,0.036,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.02,0.4,0,0.45,0,0.004,0,0,0,0.02,0
Cas_TL,9,0,0,0,0,0,0.09,0,0,0,0.01,0,0,0,0.16,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.54,0,0.18,0,0,0,0,0,0,0
Cas_TL,10,0,0,0,0,0.15,0,0.14,0,0.1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0.24,0,0,0,0,0,0.02,0.04
Cus_TL,11,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0.02,0.07,0,0,0.06,0,0,0,0,0.004,0,0,0,0,0,0.1,0,0,0.64,0,0.06,0,0,0,0,0,0,0
Cus_TL,12,0,0,0,0,0,0.01,0,0.03,0.04,0,0,0,0,0.01,0.01,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.6,0,0.16,0,0,0,0,0,0,0
Cus_TL,13,0,0,0,0.03,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0.28,0.07,0
Cus_TL,14,0.01,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.01,0,0.06,0,0,0,0,0,0,0.24,0,0,0,0,0,0.08,0,0,0.3,0,0
Cus_TL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.11,0,0,0,0,0.1,0,0,0,0,0,0.01,0,0.36,0,0.04,0,0,0,0,0.28,0,0
Rap_TL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.04,0,0,0,0,0.04,0,0,0,0.66,0,0.22,0,0,0,0,0,0,0
Rap_TL,17,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0.28,0,0,0,0.05,0,0,0
Rap_TL,18,0.06,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.8,0,0,0,0,0,0,0,0,0
Rap_TL,19,0.1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.08,0.03,0,0
Rap_TL,20,0,0,0.06,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.22,0,0,0
Rim_TL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.04,0,0,0,0,0.05,0,0,0,0,0.68,0,0.1,0,0.04,0.04,0,0,0,0
Rim_TL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0.08,0,0,0,0,0,0,0,0,0.14,0,0,0.54,0.06,0.12,0,0,0,0,0,0,0
Rim_TL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.08,0,0,0,0,0,0,0,0,0,0.68,0,0.1,0,0,0,0,0,0,0
Rim_TL,24,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.16,0,0,0.42,0,0.06,0,0.04,0,0,0,0,0
Rim_TL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0.02,0,0,0.8,0,0,0,0.06,0,0,0,0,0
