Type ,Site,1_Archoplophora,2_Eohypochthonius,3_Hypochthonius,4_Eniochthonius,5_Lohmannia,6_Papillacarus,7_Eulohmannia,8_Epilohmannia,9_Microtritia,10_Acrotritia,11_Phthiracarus,12_Atropacarus,13_Camisia,14_Heminothrus,15_Platynothrus,16_Nothrus,17_Trhypochthonius,18_Archegozetes,19_Malaconothrus,20_Trimalaconothrus,21_Nanhermannia,22_Hermannia,23_Epidamaeus,24_Belba,25_Cultroribula,26_Carabodes,27_Suctobelbella,28_Allosuctobelba,29_Multioppia,30_Microppia,31_Oppiella,32_Ramusella,33_Tectocepheus,34_Scutovertex,35_Eupelops,36_Achipteria,37_Neoribates,38_Protokalumma,39_Oribatula,40_Scheloribates,41_Mochlozetes,42_Rostrozetes,43_Incabates,44_Peloribates,45_Ceratozetes,46_Melanozetes,47_Galumna,48_Trichogalumna,49_Pergalumna
Spr_TL,1,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,30,0,81,0,0,0,0,0,51,0
Spr_TL,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,19,0,43,10,0,0,0,23,46,0
Spr_TL,3,37,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,25,0,71,0,0,22,0,8,67,0
Spr_TL,4,34,0,0,0,0,21,0,0,0,7,0,0,0,0,0,0,56,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,30,0,15,63,0
Spr_TL,5,16,0,0,0,13,19,0,12,0,19,0,0,0,0,0,0,44,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,10,63,0
Cas_TL,6,0,0,0,0,0,0,0,0,31,35,0,0,0,0,0,36,131,102,91,0,0,19,14,0,0,0,0,0,0,0,49,0,34,0,163,0,25,18,0,17,0,15,0,139,15,0,141,147,0
Cas_TL,7,0,0,2,0,0,0,0,0,6,63,0,0,0,0,0,15,127,0,116,22,0,0,58,27,0,0,0,0,0,0,13,0,38,0,106,0,10,56,0,48,0,0,0,89,38,0,136,134,0
Cas_TL,8,0,0,10,0,0,9,0,0,3,54,0,0,0,0,25,67,89,0,135,63,0,0,42,43,18,0,0,0,0,0,13,0,91,48,113,0,0,0,0,0,0,0,0,36,59,0,94,30,0
Cas_TL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,67,0,81,7,0,24,0,22,0,0,0,0,0,0,0,0,69,42,94,0,0,0,0,10,19,55,0,59,86,0,69,71,0
Cas_TL,10,0,0,0,0,0,0,0,0,78,45,0,0,0,0,0,84,113,10,79,0,0,0,0,0,20,0,0,0,20,7,46,0,0,0,121,0,0,0,0,78,90,0,25,92,98,0,42,112,0
Cus_TL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,5,0,0,0,7,3,0,0,0,0,0,0,0,70,5,0,21,0,0,0,0,78,84,0,0,86,42,0,24,53,0
Cus_TL,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,41,28,3,2,2,0,0,30,21,0,0,0,0,0,0,17,92,18,0,36,0,0,0,0,142,0,0,0,30,0,23,0,53,0
Cus_TL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,15,121,5,0,54,0,0,0,0,104,35,0,0,75,63,0,27,26,0
Cus_TL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,6,0,0,0,0,0,26,22,0,0,0,0,0,27,90,27,0,49,0,0,0,0,117,43,0,0,96,98,0,10,81,130
Cus_TL,15,0,0,0,0,0,0,0,0,21,0,0,0,14,0,0,33,38,0,10,0,0,0,0,10,0,0,0,0,0,0,20,131,35,0,46,0,0,18,0,175,0,0,0,20,39,37,0,127,25
Rap_TL,16,0,0,0,0,0,0,0,0,32,0,18,0,3,0,0,11,66,5,69,13,0,0,0,0,15,0,0,0,12,4,0,5,3,0,22,0,6,6,0,66,0,0,0,58,0,0,4,31,0
Rap_TL,17,0,0,12,7,0,0,0,0,0,0,0,0,0,14,0,2,44,0,102,23,0,0,0,24,6,0,0,0,15,51,12,0,33,0,20,15,11,21,0,114,0,40,0,29,0,0,5,60,50
Rap_TL,18,0,53,20,12,0,18,0,21,3,0,26,0,0,0,0,0,72,0,16,0,0,0,0,0,0,0,0,2,6,30,17,0,0,6,95,0,0,10,0,32,0,0,0,60,0,0,6,27,13
Rap_TL,19,0,67,19,0,0,41,0,9,0,0,6,0,0,5,0,0,189,47,20,5,0,0,0,3,10,0,0,10,6,34,0,0,13,0,43,0,0,19,0,44,0,0,0,48,0,0,10,46,22
Rap_TL,20,0,0,13,0,23,0,0,13,0,0,0,15,0,0,0,0,59,60,5,5,0,0,0,0,7,0,0,0,15,75,23,0,10,0,30,0,0,0,0,40,0,29,0,53,24,17,32,38,17
Rim_TL,21,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,32,42,0,43,7,0,0,9,29,0,0,0,6,13,8,0,0,4,0,16,15,0,0,4,19,0,0,0,14,17,6,1,0,0
Rim_TL,22,0,0,0,0,0,0,0,0,10,0,0,2,3,6,0,71,62,15,45,15,9,0,0,37,0,7,0,10,16,0,35,0,0,0,0,0,28,0,0,7,0,3,0,43,56,10,10,27,17
Rim_TL,23,0,0,0,0,0,0,0,24,0,0,5,0,6,15,0,22,23,5,33,9,22,0,3,23,0,0,0,9,3,12,17,0,0,0,0,0,0,0,8,24,0,0,0,15,0,0,0,0,0
Rim_TL,24,0,0,0,0,0,0,18,0,11,0,10,0,4,0,0,6,81,20,25,0,32,23,0,7,0,18,0,0,0,4,32,0,0,0,0,0,0,0,20,33,0,0,6,68,7,0,2,28,16
Rim_TL,25,0,0,0,0,22,0,13,0,3,0,0,0,0,0,0,5,19,0,23,0,12,6,0,0,0,0,0,0,0,28,18,0,0,0,0,5,10,0,14,21,0,0,0,21,0,0,0,13,10
