Genus,body_length,body_width,sclerotization,reproduction,pteromorph,claw_number,life_history,trophic_guild
1_Archoplophora,401.20 ,176.20 ,2,1,none,1,3,fungal_feeder
2_Eohypochthonius,325.64 ,157.64 ,2,1,none,1,3,predator
3_Hypochthonius,597.64 ,328.45 ,2,1,none,1,3,predator
4_Eniochthonius,365.80 ,195.60 ,1,1,none,1,3,primary_decomposer
5_Lohmannia,814.86 ,472.57 ,2,1,none,1,2,fungal_feeder
6_Papillacarus,422.46 ,213.15 ,2,1,none,1,2,fungal_feeder
7_Eulohmannia,515.50 ,219.83 ,1,1,none,3,2,primary_decomposer
8_Epilohmannia,384.67 ,161.44 ,2,1,none,1,2,primary_decomposer
9_Microtritia,670.62 ,318.69 ,2,1,none,1,2,fungal_feeder
10_Acrotritia,699.25 ,343.16 ,2,1,none,3,2,fungal_feeder
11_Phthiracarus,739.29 ,384.86 ,2,1,none,1,3,fungal_feeder
12_Atropacarus,622.40 ,299.40 ,2,1,none,1,3,fungal_feeder
13_Camisia,659.00 ,298.80 ,3,1,none,3,2,herbivore
14_Heminothrus,474.00 ,227.83 ,3,1,none,1,2,primary_decomposer
15_Platynothrus,728.75 ,394.12 ,3,1,none,1,2,primary_decomposer
16_Nothrus,748.38 ,381.79 ,3,1,none,3,2,fungal_feeder
17_Trhypochthonius,605.45 ,372.91 ,3,1,none,3,2,fungal_feeder
18_Archegozetes,652.88 ,365.62 ,2,1,none,1,2,herbivore
19_Malaconothrus,483.28 ,227.89 ,3,1,none,1,2,fungal_feeder
20_Trimalaconothrus,562.71 ,269.43 ,3,1,none,3,2,predator
21_Nanhermannia,895.78 ,513.22 ,3,1,none,1,2,fungal_feeder
22_Hermannia,771.75 ,459.62 ,3,0,none,1,3,primary_decomposer
23_Epidamaeus,450.00 ,321.11 ,2,0,none,1,2,fungal_feeder
24_Belba,469.78 ,275.33 ,2,0,none,1,2,fungal_feeder
25_Cultroribula,304.09 ,203.91 ,2,1,humeral_projection,1,2,fungal_feeder
26_Carabodes,343.67 ,196.67 ,3,0,humeral_projection,1,3,primary_decomposer
27_Suctobelbella,228.20 ,126.00 ,2,1,humeral_projection,1,2,fungal_feeder
28_Allosuctobelba,431.60 ,301.60 ,2,0,none,1,2,primary_decomposer
29_Multioppia,328.50 ,174.93 ,2,0,none,1,1,fungal_feeder
30_Microppia,180.12 ,82.24 ,2,1,none,1,1,predator
31_Oppiella,255.87 ,135.26 ,2,1,none,1,1,predator
32_Ramusella,258.26 ,131.94 ,2,0,none,1,1,predator
33_Tectocepheus,307.61 ,181.61 ,2,1,none,1,2,primary_decomposer
34_Scutovertex,653.11 ,365.44 ,3,0,humeral_projection,3,2,primary_decomposer
35_Eupelops,613.15 ,505.96 ,3,0,movable_pteromorph,3,2,fungal_feeder
36_Achipteria,641.20 ,381.60 ,3,0,fixed_pteromorph,3,3,primary_decomposer
37_Neoribates,653.00 ,310.56 ,2,0,movable_pteromorph,3,2,fungal_feeder
38_Protokalumma,630.00 ,327.90 ,2,0,movable_pteromorph,3,2,fungal_feeder
39_Oribatula,451.43 ,270.00 ,2,0,humeral_projection,3,2,fungal_feeder
40_Scheloribates,444.31 ,277.36 ,2,0,fixed_pteromorph,3,1,fungal_feeder
41_Mochlozetes,614.56 ,343.44 ,2,0,fixed_pteromorph,3,1,primary_decomposer
42_Rostrozetes,579.40 ,374.10 ,2,0,fixed_pteromorph,3,2,fungal_feeder
43_Incabates,427.33 ,219.50 ,2,0,movable_pteromorph,3,2,fungal_feeder
44_Peloribates,526.00 ,431.90 ,2,0,movable_pteromorph,3,2,fungal_feeder
45_Ceratozetes,549.94 ,365.82 ,3,0,fixed_pteromorph,3,2,fungal_feeder
46_Melanozetes,501.00 ,392.50 ,2,0,fixed_pteromorph,3,2,primary_decomposer
47_Galumna,678.55 ,449.59 ,2,0,movable_pteromorph,3,1,fungal_feeder
48_Trichogalumna,318.23 ,222.97 ,2,0,movable_pteromorph,3,1,fungal_feeder
49_Pergalumna,542.73 ,386.53 ,2,0,movable_pteromorph,3,1,fungal_feeder
